**************************************************
Checking constraint violation of QuadrupleStance:
******************************************************************************
Domain: QuadrupleStance 	Constraint: timeDuration 	Node: 1 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 4.50493220E-01 2.00000000E+00
$$ Lower bound violated: -4.95067800E-02 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 2 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.36491608E-05 1.00000000E-04
-1.00000000E-04 -3.75563178E-06 1.00000000E-04
-1.00000000E-04 6.37212264E-05 1.00000000E-04
-1.00000000E-04 -7.95657575E-06 1.00000000E-04
-1.00000000E-04 4.54500749E-05 1.00000000E-04
-1.00000000E-04 8.20509348E-07 1.00000000E-04
-1.00000000E-04 4.25852731E-04 1.00000000E-04
-1.00000000E-04 2.70743255E-04 1.00000000E-04
-1.00000000E-04 -5.15704919E-04 1.00000000E-04
-1.00000000E-04 -5.28830814E-04 1.00000000E-04
-1.00000000E-04 -2.89768742E-04 1.00000000E-04
-1.00000000E-04 5.33373258E-04 1.00000000E-04
-1.00000000E-04 -3.30649182E-04 1.00000000E-04
-1.00000000E-04 -3.37717997E-04 1.00000000E-04
-1.00000000E-04 5.66776349E-04 1.00000000E-04
-1.00000000E-04 1.63519529E-04 1.00000000E-04
-1.00000000E-04 3.45502898E-04 1.00000000E-04
-1.00000000E-04 -5.53494030E-04 1.00000000E-04
-1.00000000E-04 -5.04696108E-06 1.00000000E-04
-1.00000000E-04 -6.72699305E-07 1.00000000E-04
-1.00000000E-04 6.38361348E-05 1.00000000E-04
-1.00000000E-04 -7.31559523E-07 1.00000000E-04
-1.00000000E-04 8.23773887E-06 1.00000000E-04
-1.00000000E-04 8.36465755E-08 1.00000000E-04
-1.00000000E-04 -5.58858142E-05 1.00000000E-04
-1.00000000E-04 9.96874549E-05 1.00000000E-04
-1.00000000E-04 6.13043211E-05 1.00000000E-04
-1.00000000E-04 6.08887181E-05 1.00000000E-04
-1.00000000E-04 -1.03342439E-04 1.00000000E-04
-1.00000000E-04 -6.29650602E-05 1.00000000E-04
-1.00000000E-04 -3.06888974E-05 1.00000000E-04
-1.00000000E-04 1.13999519E-04 1.00000000E-04
-1.00000000E-04 -2.56868595E-06 1.00000000E-04
-1.00000000E-04 2.73367287E-05 1.00000000E-04
-1.00000000E-04 -8.37797939E-05 1.00000000E-04
-1.00000000E-04 1.49143504E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 4 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 3.25987403E-05 1.00000000E-04
-1.00000000E-04 -1.99168568E-06 1.00000000E-04
-1.00000000E-04 -1.32359312E-05 1.00000000E-04
-1.00000000E-04 -9.19410895E-06 1.00000000E-04
-1.00000000E-04 7.43383779E-05 1.00000000E-04
-1.00000000E-04 2.18708477E-07 1.00000000E-04
-1.00000000E-04 2.36876625E-04 1.00000000E-04
-1.00000000E-04 2.41567006E-04 1.00000000E-04
-1.00000000E-04 -5.60578323E-04 1.00000000E-04
-1.00000000E-04 -2.33368094E-04 1.00000000E-04
-1.00000000E-04 -2.72034050E-04 1.00000000E-04
-1.00000000E-04 5.43917130E-04 1.00000000E-04
-1.00000000E-04 -9.96318754E-05 1.00000000E-04
-1.00000000E-04 -7.71790627E-04 1.00000000E-04
-1.00000000E-04 6.19018988E-04 1.00000000E-04
-1.00000000E-04 1.77747458E-05 1.00000000E-04
-1.00000000E-04 6.30229753E-04 1.00000000E-04
-1.00000000E-04 -6.39598148E-04 1.00000000E-04
-1.00000000E-04 1.70498331E-06 1.00000000E-04
-1.00000000E-04 -2.99798811E-08 1.00000000E-04
-1.00000000E-04 5.48138110E-05 1.00000000E-04
-1.00000000E-04 -6.05684750E-07 1.00000000E-04
-1.00000000E-04 2.61749960E-06 1.00000000E-04
-1.00000000E-04 3.53221754E-08 1.00000000E-04
-1.00000000E-04 5.69316116E-05 1.00000000E-04
-1.00000000E-04 -7.63075675E-05 1.00000000E-04
-1.00000000E-04 -3.75172496E-05 1.00000000E-04
-1.00000000E-04 -8.78727930E-05 1.00000000E-04
-1.00000000E-04 9.33764052E-05 1.00000000E-04
-1.00000000E-04 4.69928752E-05 1.00000000E-04
-1.00000000E-04 -2.69724942E-05 1.00000000E-04
-1.00000000E-04 2.06863593E-05 1.00000000E-04
-1.00000000E-04 1.18797024E-05 1.00000000E-04
-1.00000000E-04 1.34907063E-05 1.00000000E-04
-1.00000000E-04 -4.02548902E-05 1.00000000E-04
-1.00000000E-04 -1.79420404E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 6 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 2.43998720E-05 1.00000000E-04
-1.00000000E-04 -3.03507673E-06 1.00000000E-04
-1.00000000E-04 1.02527278E-04 1.00000000E-04
-1.00000000E-04 -5.78305495E-06 1.00000000E-04
-1.00000000E-04 5.73628087E-05 1.00000000E-04
-1.00000000E-04 1.22160790E-08 1.00000000E-04
-1.00000000E-04 -1.48636376E-04 1.00000000E-04
-1.00000000E-04 1.88465262E-04 1.00000000E-04
-1.00000000E-04 -5.08042538E-04 1.00000000E-04
-1.00000000E-04 2.73741679E-04 1.00000000E-04
-1.00000000E-04 -2.29522917E-04 1.00000000E-04
-1.00000000E-04 4.84023015E-04 1.00000000E-04
-1.00000000E-04 2.20505633E-04 1.00000000E-04
-1.00000000E-04 -3.60432435E-04 1.00000000E-04
-1.00000000E-04 6.02758597E-04 1.00000000E-04
-1.00000000E-04 -1.04146591E-04 1.00000000E-04
-1.00000000E-04 3.23538641E-04 1.00000000E-04
-1.00000000E-04 -6.08902615E-04 1.00000000E-04
-1.00000000E-04 1.89198476E-06 1.00000000E-04
-1.00000000E-04 -9.33541679E-08 1.00000000E-04
-1.00000000E-04 -1.21887081E-06 1.00000000E-04
-1.00000000E-04 -9.98133783E-07 1.00000000E-04
-1.00000000E-04 1.13041113E-06 1.00000000E-04
-1.00000000E-04 -8.88995733E-09 1.00000000E-04
-1.00000000E-04 2.44186685E-05 1.00000000E-04
-1.00000000E-04 1.71489383E-06 1.00000000E-04
-1.00000000E-04 -1.38705883E-05 1.00000000E-04
-1.00000000E-04 -4.80505485E-05 1.00000000E-04
-1.00000000E-04 -5.55881298E-05 1.00000000E-04
-1.00000000E-04 -1.37200236E-05 1.00000000E-04
-1.00000000E-04 -5.11030356E-05 1.00000000E-04
-1.00000000E-04 2.37017388E-06 1.00000000E-04
-1.00000000E-04 2.47019070E-05 1.00000000E-04
-1.00000000E-04 1.07215035E-05 1.00000000E-04
-1.00000000E-04 -2.87484027E-05 1.00000000E-04
-1.00000000E-04 -4.15514791E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 8 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.54946663E-05 1.00000000E-04
-1.00000000E-04 -2.68518700E-06 1.00000000E-04
-1.00000000E-04 1.96077088E-04 1.00000000E-04
-1.00000000E-04 -4.26728453E-06 1.00000000E-04
-1.00000000E-04 4.11167055E-05 1.00000000E-04
-1.00000000E-04 -3.58178492E-08 1.00000000E-04
-1.00000000E-04 -1.88412898E-04 1.00000000E-04
-1.00000000E-04 1.64527977E-04 1.00000000E-04
-1.00000000E-04 -3.47871865E-04 1.00000000E-04
-1.00000000E-04 4.36794667E-04 1.00000000E-04
-1.00000000E-04 -1.73202117E-04 1.00000000E-04
-1.00000000E-04 3.47687342E-04 1.00000000E-04
-1.00000000E-04 3.75960879E-04 1.00000000E-04
-1.00000000E-04 -1.95694167E-04 1.00000000E-04
-1.00000000E-04 4.38140112E-04 1.00000000E-04
-1.00000000E-04 -1.24715928E-04 1.00000000E-04
-1.00000000E-04 2.15658008E-04 1.00000000E-04
-1.00000000E-04 -4.11862005E-04 1.00000000E-04
-1.00000000E-04 1.65042350E-06 1.00000000E-04
-1.00000000E-04 -6.65094230E-07 1.00000000E-04
-1.00000000E-04 6.66565762E-05 1.00000000E-04
-1.00000000E-04 -3.43095126E-07 1.00000000E-04
-1.00000000E-04 8.76534537E-07 1.00000000E-04
-1.00000000E-04 -3.41534346E-08 1.00000000E-04
-1.00000000E-04 -1.65017513E-05 1.00000000E-04
-1.00000000E-04 2.14337379E-05 1.00000000E-04
-1.00000000E-04 -1.40823291E-05 1.00000000E-04
-1.00000000E-04 7.65000166E-06 1.00000000E-04
-1.00000000E-04 -1.23630795E-05 1.00000000E-04
-1.00000000E-04 1.00243570E-05 1.00000000E-04
-1.00000000E-04 2.31570388E-05 1.00000000E-04
-1.00000000E-04 -3.36343333E-05 1.00000000E-04
-1.00000000E-04 2.36019524E-05 1.00000000E-04
-1.00000000E-04 5.75620341E-07 1.00000000E-04
-1.00000000E-04 2.59505850E-05 1.00000000E-04
-1.00000000E-04 -2.18621994E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 10 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.21145483E-05 1.00000000E-04
-1.00000000E-04 -9.11656772E-07 1.00000000E-04
