2021-11-08 14:17:11,167 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-08 14:17:11,186 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-08 14:17:11,187 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-08 14:17:11,187 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-08 14:17:11,188 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-08 14:17:11,189 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-08 14:17:11,189 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-08 14:17:11,190 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-08 14:17:11,192 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-08 14:17:11,199 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-08 14:17:11,200 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-08 14:17:11,202 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-08 14:18:28,441 INFO  SwAddin.cs: 294 - Assembly export called for file ASTRo.SLDASM
2021-11-08 14:18:28,442 INFO  SwAddin.cs: 299 - Save is required
2021-11-08 14:18:28,443 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-08 14:18:40,149 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1136 - Found 72 in ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1160 - 13 components to check
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1136 - Found 72 in ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in ASTRo.SLDASM
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-08 14:18:40,162 INFO  ExportHelperExtension.cs: 1160 - 13 components to check
2021-11-08 14:18:55,546 INFO  SwAddin.cs: 339 - Loading config tree
2021-11-08 14:18:55,549 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-11-08 14:18:55,553 INFO  SwAddin.cs: 344 - Showing property manager
2021-11-08 14:19:12,111 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-08 14:19:12,289 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-08 14:19:12,406 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-08 14:19:13,061 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
